Czas[s]	Masa[g]
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.250
.3f	217.200
.3f	228.700
.3f	229.300
.3f	217.000
.3f	205.400
.3f	189.800
.3f	172.500
.3f	157.900
.3f	139.350
.3f	110.550
.3f	78.450
.3f	61.500
.3f	59.200
.3f	63.650
.3f	70.100
.3f	69.800
.3f	67.550
.3f	72.950
.3f	83.550
.3f	98.350
.3f	110.500
.3f	107.900
.3f	94.450
.3f	92.300
.3f	106.200
.3f	115.500
.3f	120.450
.3f	122.600
.3f	117.400
.3f	115.000
.3f	112.150
.3f	113.000
.3f	113.750
.3f	108.500
.3f	108.550
.3f	102.300
.3f	87.100
.3f	79.450
.3f	85.850
.3f	98.550
.3f	120.650
.3f	159.400
.3f	195.500
.3f	210.450
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
