Czas[s]	Masa[g]
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.150
.3f	8.050
.3f	23.150
.3f	38.400
.3f	78.600
.3f	146.850
.3f	194.550
.3f	209.350
.3f	212.100
.3f	212.100
.3f	212.100
.3f	212.100
.3f	212.100
.3f	212.100
.3f	212.100
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.250
.3f	214.300
.3f	219.950
.3f	228.250
.3f	230.550
.3f	224.450
.3f	215.850
.3f	206.350
.3f	193.800
.3f	173.000
.3f	142.500
.3f	122.050
.3f	116.700
.3f	117.000
.3f	128.550
.3f	137.800
.3f	143.900
.3f	149.600
.3f	139.350
.3f	117.750
.3f	101.400
.3f	95.200
.3f	92.100
.3f	89.000
.3f	90.450
.3f	95.150
.3f	111.750
.3f	158.400
.3f	209.350
.3f	227.750
.3f	220.900
.3f	204.350
.3f	178.100
.3f	170.800
.3f	194.050
.3f	210.300
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
.3f	212.150
