Czas[s]	Masa[g]
0.000	0.000
0.016	0.000
0.114	0.000
0.205	0.000
0.298	0.000
0.380	0.000
0.466	0.000
0.565	0.000
0.649	0.000
0.738	0.000
0.836	0.000
0.919	0.000
1.016	0.000
1.099	0.000
1.199	0.000
1.283	0.000
1.383	0.000
1.466	0.000
1.550	0.000
1.650	0.000
1.729	0.000
1.839	0.000
1.911	0.000
2.000	0.000
2.099	0.000
2.184	0.000
2.268	0.000
2.366	0.000
2.449	0.000
2.552	0.000
2.634	0.000
2.733	0.000
2.819	0.000
2.907	0.000
3.006	0.000
3.149	0.000
3.175	0.000
3.269	0.000
3.352	0.000
3.451	0.000
3.536	0.000
3.619	0.000
3.719	0.000
3.802	0.000
3.904	0.000
3.989	0.000
4.091	0.000
4.171	0.000
4.253	0.000
4.353	0.000
4.436	0.000
4.519	0.000
4.620	0.000
4.703	0.000
4.803	0.000
4.887	0.000
4.971	0.000
5.075	0.000
5.155	0.000
5.242	0.000
5.335	0.000
5.435	0.000
5.520	0.000
5.604	0.000
5.703	0.000
5.789	0.000
5.872	0.000
5.967	0.000
6.114	0.000
6.146	0.000
6.243	0.000
6.322	0.000
6.422	0.000
6.504	0.000
6.608	0.000
6.686	0.000
6.776	0.000
6.863	0.000
6.959	0.000
7.055	0.000
7.138	0.000
7.222	0.000
7.322	0.000
7.407	0.000
7.498	0.000
7.591	0.000
7.673	0.000
7.773	0.000
7.857	0.000
7.956	0.000
8.040	0.000
8.123	0.000
8.223	0.000
8.307	0.000
8.407	0.000
8.498	0.000
8.576	0.000
8.675	0.000
8.766	0.000
8.849	0.000
8.941	0.000
9.025	0.000
9.114	0.000
9.207	0.000
9.306	0.000
9.393	0.000
9.476	0.000
9.575	0.000
9.659	0.000
9.757	0.000
9.843	0.000
9.926	0.000
10.015	0.000
10.109	0.000
10.208	0.000
10.292	0.000
10.374	0.000
10.475	0.000
10.559	0.000
