Czas[s]	Masa[g]
0.000	0.050
0.051	0.050
0.150	0.050
0.235	0.050
0.334	0.050
0.420	0.050
0.502	0.050
0.602	0.050
0.690	0.050
0.769	0.050
0.873	0.050
0.952	0.050
1.053	0.050
1.135	0.050
1.234	0.050
1.318	0.050
1.403	0.050
1.502	0.050
1.585	0.050
1.685	0.050
1.768	0.050
1.852	0.050
1.952	0.050
2.035	0.050
2.136	0.050
2.219	0.050
2.302	0.050
2.403	0.050
2.485	0.050
2.592	0.050
2.669	0.050
2.753	0.050
2.852	0.050
2.936	0.050
3.144	0.050
3.155	0.050
3.203	0.050
3.308	0.050
3.386	0.050
3.492	0.050
3.566	0.050
3.654	0.050
3.759	0.050
3.845	0.050
3.923	0.050
4.020	0.050
4.105	0.050
4.204	0.050
4.289	0.050
4.382	0.050
4.472	0.050
4.555	0.050
4.654	0.050
4.737	0.050
4.823	0.050
4.921	0.050
5.005	0.050
5.111	0.050
5.190	0.050
5.288	0.050
5.372	0.050
5.457	0.050
5.554	0.050
5.639	0.050
5.723	0.050
5.822	0.050
5.906	0.050
6.005	0.050
6.109	0.050
6.177	0.050
6.273	0.050
6.356	0.050
6.456	0.050
6.543	0.050
6.626	0.050
6.724	0.050
6.807	0.050
6.907	0.050
6.997	0.050
7.075	0.050
7.173	0.050
7.257	0.050
7.352	0.050
7.446	0.050
7.546	0.050
7.624	0.050
7.707	0.050
7.806	0.050
7.891	0.050
7.975	0.050
8.070	0.050
8.158	0.050
8.259	0.050
8.345	0.050
8.425	0.050
8.525	0.050
8.608	0.050
8.709	0.050
8.792	0.050
8.876	0.050
8.976	0.050
9.092	0.050
9.158	0.050
9.241	0.050
9.340	0.050
9.427	0.050
9.508	0.050
9.608	0.050
9.693	0.050
9.777	0.050
9.876	0.050
9.960	0.050
10.059	0.050
10.144	0.050
10.227	0.050
10.328	0.050
10.411	0.050
10.516	0.050
10.594	0.050
10.678	0.050
10.768	0.050
10.860	0.050
10.951	0.050
11.045	0.050
11.128	0.050
11.218	0.050
11.312	0.050
11.411	0.050
11.495	0.050
11.579	0.050
11.677	0.050
11.768	0.050
11.853	0.050
11.945	0.050
12.243	0.050
12.261	0.050
12.285	0.050
12.302	0.050
12.402	0.050
12.478	0.050
12.585	0.050
12.663	0.050
12.762	0.050
12.846	0.050
12.930	0.050
13.028	0.050
13.113	0.050
13.219	0.050
13.288	0.050
13.380	0.050
13.480	0.050
13.563	0.050
13.663	0.050
13.746	0.050
13.831	0.050
13.936	0.050
14.020	0.050
14.113	0.050
14.197	0.050
14.288	0.050
14.382	0.050
14.465	0.050
14.563	0.050
14.648	0.050
14.733	0.050
14.830	0.050
14.915	0.050
15.014	0.050
15.113	0.050
15.183	0.050
15.280	0.050
15.365	0.050
15.472	0.050
15.549	0.050
15.633	0.050
15.732	0.050
15.818	0.050
15.901	0.050
15.999	0.050
16.083	0.050
16.189	0.050
16.267	0.050
16.366	0.050
16.450	0.050
16.533	0.050
16.633	0.050
16.717	0.050
16.801	0.050
16.900	0.050
16.983	0.050
17.082	0.050
17.167	0.050
17.251	0.050
17.351	0.050
17.434	0.050
17.540	0.050
17.618	0.050
17.708	0.050
17.800	0.050
17.883	0.050
17.983	0.050
18.103	0.050
18.157	0.050
18.250	0.050
18.336	0.050
18.435	0.050
18.519	0.050
18.602	0.050
18.702	0.050
18.786	0.050
18.885	0.050
18.969	0.050
19.053	0.050
19.152	0.050
19.236	0.050
19.336	0.050
19.420	0.050
19.516	0.050
19.603	0.050
19.688	0.050
19.786	0.050
19.869	0.050
19.953	0.050
20.052	0.050
20.136	0.050
20.236	0.050
20.320	0.050
20.404	0.050
20.503	0.050
20.587	0.050
20.686	0.050
20.771	0.050
20.855	0.050
20.960	0.050
21.112	0.050
21.133	0.050
21.227	0.050
21.305	0.050
21.404	0.050
21.486	0.050
21.578	0.050
21.672	0.050
21.755	0.050
21.855	0.050
21.939	0.050
22.040	0.050
22.128	0.050
22.205	0.050
22.306	0.050
22.389	0.050
22.489	0.050
22.573	0.050
22.656	0.050
22.752	0.050
22.839	0.050
22.945	0.050
23.022	0.050
23.107	0.050
23.206	0.050
23.290	0.050
23.396	0.050
23.470	0.050
23.558	0.050
23.658	0.050
23.741	0.050
23.840	0.050
23.924	0.050
24.022	0.050
24.124	0.050
24.192	0.050
24.297	0.050
24.375	0.050
24.458	0.050
24.563	0.050
24.652	0.050
24.727	0.050
24.823	0.050
24.909	0.050
25.007	0.050
25.092	0.050
25.191	0.050
25.275	0.050
25.358	0.050
25.465	0.050
25.543	0.050
25.642	0.050
25.726	0.050
25.810	0.050
25.909	0.050
25.993	0.050
26.092	0.050
26.176	0.050
26.260	0.050
26.359	0.050
26.444	0.050
26.532	0.050
26.626	0.050
26.710	0.050
26.810	0.050
26.894	0.050
26.999	0.050
27.112	0.050
27.160	0.050
27.266	0.050
27.345	0.050
27.450	0.050
27.528	0.050
27.622	0.050
27.712	0.050
27.795	0.050
27.894	0.050
27.978	0.050
28.060	0.050
28.161	0.050
28.245	0.050
28.344	0.050
28.429	0.050
28.512	0.050
28.611	0.050
28.696	0.050
28.801	0.050
28.879	0.050
28.962	0.050
