Czas[s]	Masa[g]
0.000	0.000
0.050	0.000
0.133	0.000
0.234	0.000
0.315	0.000
0.414	0.000
0.499	0.000
0.590	0.000
0.684	0.000
0.766	0.000
0.859	0.000
0.951	0.000
1.038	0.000
1.134	0.000
1.218	0.000
1.316	0.000
1.400	0.000
1.484	0.000
1.583	0.000
1.669	0.000
1.759	0.000
1.851	0.000
1.937	0.000
2.035	0.000
2.120	0.000
2.220	0.000
2.304	0.000
2.385	0.000
2.485	0.000
2.569	0.000
2.667	0.000
2.753	0.000
2.835	0.000
2.935	0.000
3.133	0.000
3.154	0.000
3.202	0.000
3.286	0.000
3.385	0.000
3.469	0.000
3.569	0.000
3.647	0.000
3.736	0.000
3.836	0.000
3.918	0.000
4.017	0.000
4.097	0.000
4.187	0.000
4.286	0.000
4.371	0.000
4.469	0.000
4.555	0.000
4.638	0.000
4.736	0.000
4.821	0.000
4.920	0.000
5.005	0.000
5.087	0.000
5.187	0.000
5.271	0.000
5.370	0.000
5.455	0.000
5.538	0.000
5.637	0.000
5.723	0.000
5.820	0.000
5.907	0.000
5.987	0.000
6.094	0.000
6.172	0.000
6.256	0.000
6.355	0.000
6.439	0.000
6.537	0.000
6.618	0.000
6.706	0.000
6.805	0.000
6.891	0.000
6.988	0.000
7.074	0.000
7.157	0.000
7.256	0.000
7.340	0.000
7.439	0.000
7.524	0.000
7.608	0.000
7.707	0.000
7.791	0.000
7.889	0.000
7.973	0.000
8.072	0.000
8.157	0.000
8.240	0.000
8.340	0.000
8.426	0.000
8.514	0.000
8.608	0.000
8.691	0.000
8.792	0.000
8.875	0.000
8.974	0.000
9.093	0.000
9.150	4.350
9.264	39.700
9.341	68.250
9.426	71.950
9.524	48.950
9.609	15.150
9.703	1.150
9.777	0.000
9.858	0.000
9.964	0.000
10.044	0.000
10.142	0.000
10.226	0.000
10.324	0.000
10.409	0.000
10.493	0.000
10.593	0.000
10.676	0.000
10.775	0.000
10.860	0.000
10.943	0.000
11.045	0.000
11.127	0.000
11.210	0.000
11.315	0.000
11.394	0.000
11.493	0.000
11.577	0.000
11.661	0.000
11.766	0.000
11.844	0.000
11.943	0.000
12.028	0.000
12.133	0.000
12.208	0.000
12.300	0.000
12.400	0.000
12.478	0.000
12.576	0.000
12.661	0.000
12.744	0.000
12.845	0.000
12.930	0.000
13.012	0.000
13.112	0.000
13.197	0.000
13.295	0.000
13.379	0.000
13.464	0.000
13.562	0.000
13.647	0.000
13.746	0.000
13.828	0.000
13.913	0.000
14.012	0.000
14.097	0.000
14.195	0.000
14.281	0.000
14.365	0.000
14.462	0.000
14.546	0.000
14.647	0.000
14.732	0.000
14.815	0.000
14.914	0.000
14.997	0.000
15.131	0.000
15.182	0.000
15.265	0.000
15.365	0.000
15.449	0.000
15.535	0.000
15.632	0.000
15.715	0.000
15.815	0.000
15.898	0.000
15.998	0.000
16.088	0.000
16.166	0.000
16.270	0.000
16.349	0.000
16.447	0.000
16.532	0.000
16.616	0.000
16.715	0.000
16.800	0.000
16.899	0.000
16.981	0.000
17.066	0.000
17.165	0.000
17.250	0.000
17.350	0.000
17.434	0.000
17.516	0.000
17.617	0.000
17.698	0.000
17.798	0.000
17.887	0.000
17.966	0.000
18.127	0.000
18.157	0.000
18.236	0.000
18.335	0.000
18.416	0.000
18.517	0.000
18.598	0.000
18.700	0.000
18.785	0.000
18.867	0.000
18.974	0.000
19.054	0.000
19.152	0.000
19.235	0.000
