Czas	Masa[g]
2026-01-12 22:22:06.095742	76.000
2026-01-12 22:22:06.186458	72.000
2026-01-12 22:22:06.248585	74.000
2026-01-12 22:22:06.304616	83.000
2026-01-12 22:22:06.367334	23.000
2026-01-12 22:22:06.426171	29.000
2026-01-12 22:22:06.486152	39.000
2026-01-12 22:22:06.554068	24.000
2026-01-12 22:22:06.617906	27.000
2026-01-12 22:22:06.674911	38.000
2026-01-12 22:22:06.736196	78.000
2026-01-12 22:22:06.797269	97.000
2026-01-12 22:22:06.860285	64.000
2026-01-12 22:22:06.936421	14.000
2026-01-12 22:22:07.001853	33.000
2026-01-12 22:22:07.069232	2.000
2026-01-12 22:22:07.136733	62.000
2026-01-12 22:22:07.190753	92.000
2026-01-12 22:22:07.251831	78.000
2026-01-12 22:22:07.321974	59.000
2026-01-12 22:22:07.386354	85.000
2026-01-12 22:22:07.451354	3.000
2026-01-12 22:22:07.505734	16.000
2026-01-12 22:22:07.569745	15.000
2026-01-12 22:22:07.636564	57.000
2026-01-12 22:22:07.694503	66.000
2026-01-12 22:22:07.755637	26.000
2026-01-12 22:22:07.813524	22.000
2026-01-12 22:22:07.876594	96.000
2026-01-12 22:22:07.951953	74.000
2026-01-12 22:22:08.003603	89.000
2026-01-12 22:22:08.070197	35.000
2026-01-12 22:22:08.126919	89.000
2026-01-12 22:22:08.200808	91.000
2026-01-12 22:22:08.255886	53.000
2026-01-12 22:22:08.321355	15.000
2026-01-12 22:22:08.385161	76.000
2026-01-12 22:22:08.440077	11.000
2026-01-12 22:22:08.501643	4.000
2026-01-12 22:22:08.569670	97.000
2026-01-12 22:22:08.637346	74.000
2026-01-12 22:22:08.688022	27.000
2026-01-12 22:22:08.751173	91.000
2026-01-12 22:22:08.814831	21.000
2026-01-12 22:22:08.908057	69.000
2026-01-12 22:22:08.941297	55.000
2026-01-12 22:22:09.005316	70.000
2026-01-12 22:22:09.068726	35.000
2026-01-12 22:22:09.126343	3.000
2026-01-12 22:22:09.202268	71.000
2026-01-12 22:22:09.258877	97.000
2026-01-12 22:22:09.323042	61.000
2026-01-12 22:22:09.386962	64.000
2026-01-12 22:22:09.440892	97.000
2026-01-12 22:22:09.501928	44.000
2026-01-12 22:22:09.567329	72.000
2026-01-12 22:22:09.626141	3.000
2026-01-12 22:22:09.702384	9.000
2026-01-12 22:22:09.770001	16.000
2026-01-12 22:22:09.829812	83.000
2026-01-12 22:22:09.902594	3.000
2026-01-12 22:22:09.966819	75.000
2026-01-12 22:22:10.022279	96.000
2026-01-12 22:22:10.084793	94.000
2026-01-12 22:22:10.148724	1.000
2026-01-12 22:22:10.221193	8.000
2026-01-12 22:22:10.357401	35.000
